payment_id,order_id,payment_date,type,status,currency,gross_amount,fee_amount,customer_email,processor_batch
PAY-0202-000548,ORD-0202-00521,2026-07-04 14:48:01,charge,captured,USD,431.90,12.83,lea.patel75@example.com,BATCH-044
PAY-0202-002944,ORD-0202-02804,2026-07-03 22:39:48,charge,captured,USD,426.19,12.66,noah.jones69@example.com,BATCH-033
PAY-0202-000001,ORD-0202-00000,2026-07-22 12:33:19,charge,captured,USD,74.29,2.45,max.patel56@example.com,BATCH-224
PAY-0202-002736,ORD-0202-02603,2026-07-03 20:16:46,charge,captured,USD,330.21,9.88,lea.novak88@example.com,BATCH-033
PAY-0202-000942,ORD-0202-00882,2026-07-05 14:11:17,charge,captured,USD,412.86,12.27,lea.smith64@example.com,BATCH-052
PAY-0202-002819,ORD-0202-02685,2026-07-28 17:43:51,charge,captured,USD,459.31,13.62,jack.rossi4@example.com,BATCH-281
PAY-0202-000980,ORD-0202-00917,2026-07-04 03:59:48,charge,captured,USD,203.62,6.20,lea.kim54@example.com,BATCH-042
PAY-0202-000703,ORD-0202-00666,2026-07-29 09:44:23,refund,captured,USD,55.71,0.00,ivy.silva23@example.com,BATCH-293
PAY-0202-000334,ORD-0202-00319,2026-07-12 17:19:20,refund,captured,USD,262.49,0.00,ivy.jones63@example.com,BATCH-122
PAY-0202-000167,ORD-0202-00161,2026-07-03 15:21:05,charge,captured,USD,160.50,4.95,max.diaz23@example.com,BATCH-032
PAY-0202-001426,ORD-0202-01352,2026-07-09 02:09:24,charge,captured,USD,962.69,28.22,eli.mori96@example.com,BATCH-094
PAY-0202-001017,ORD-0202-00951,2026-07-08 22:13:46,charge,captured,USD,462.78,13.72,noah.rossi61@example.com,BATCH-084
PAY-0202-002069,ORD-0202-01965,2026-07-10 23:12:46,charge,captured,USD,44.77,1.60,eli.smith66@example.com,BATCH-102
PAY-0202-001072,ORD-0202-01004,2026-07-22 22:02:16,charge,pending,EUR,88.85,0.00,nina.jones34@example.com,BATCH-224
PAY-0202-000083,ORD-0202-00077,2026-07-28 08:27:05,charge,captured,USD,467.37,13.85,amir.weber87@example.com,BATCH-283
PAY-0202-002416,ORD-0202-02300,2026-07-30 05:17:48,charge,captured,EUR,385.08,11.47,hugo.levi30@example.com,BATCH-304
PAY-0202-003017,ORD-0202-02877,2026-07-28 04:15:38,charge,captured,USD,316.64,9.48,lucy.mori72@example.com,BATCH-284
PAY-0202-002518,ORD-0202-02394,2026-07-27 14:49:39,charge,captured,USD,99.86,3.20,liam.mori33@example.com,BATCH-274
PAY-0202-002554,ORD-0202-02428,2026-07-13 12:06:24,charge,captured,USD,424.89,12.62,ivy.levi50@example.com,BATCH-134
PAY-0202-000089,ORD-0202-00084,2026-07-14 17:39:48,charge,captured,EUR,198.10,6.04,zoe.garcia24@example.com,BATCH-144
PAY-0202-002516,ORD-0202-02392,2026-07-17 01:49:41,charge,captured,USD,127.47,4.00,amir.novak17@example.com,BATCH-173
PAY-0202-000024,ORD-0202-00021,2026-07-29 18:58:27,charge,captured,USD,121.80,3.83,lucy.brown91@example.com,BATCH-292
PAY-0202-000846,ORD-0202-00798,2026-07-29 09:59:02,refund,captured,USD,378.05,0.00,max.garcia21@example.com,BATCH-292
PAY-0202-002689,ORD-0202-02558,2026-07-14 00:53:11,charge,captured,USD,1756.29,51.23,omar.cohen82@example.com,BATCH-144
PAY-0202-000241,ORD-0202-00232,2026-07-03 01:30:50,charge,captured,USD,58.45,2.00,liam.patel68@example.com,BATCH-031
PAY-0202-000958,ORD-0202-00899,2026-07-05 10:40:20,charge,captured,USD,334.29,9.99,faye.levi10@example.com,BATCH-054
PAY-0202-000912,ORD-0202-00859,2026-07-12 10:28:58,charge,captured,USD,131.90,4.13,mia.jones1@example.com,BATCH-123
PAY-0202-001022,ORD-0202-00957,2026-07-13 23:48:50,charge,failed,USD,220.26,0.00,max.levi13@example.com,BATCH-134
PAY-0202-001967,ORD-0202-01870,2026-07-13 07:54:57,charge,failed,USD,141.01,0.00,zoe.silva28@example.com,BATCH-132
PAY-0202-000886,ORD-0202-00834,2026-07-18 00:03:51,charge,captured,EUR,154.25,4.77,zoe.mori71@example.com,BATCH-184
PAY-0202-002740,ORD-0202-02605,2026-07-14 07:21:17,charge,captured,USD,32.32,1.24,liam.patel19@example.com,BATCH-144
PAY-0202-000335,ORD-0202-00320,2026-07-02 03:31:41,charge,captured,USD,120.15,3.78,dana.weber64@example.com,BATCH-022
PAY-0202-000195,ORD-0202-00186,2026-07-21 21:04:05,charge,captured,USD,155.89,4.82,jack.silva60@example.com,BATCH-213
PAY-0202-001558,ORD-0202-01478,2026-07-19 01:45:39,charge,captured,USD,95.44,3.07,eli.patel13@example.com,BATCH-194
PAY-0202-000059,ORD-0202-00055,2026-07-27 12:22:58,refund,captured,USD,191.44,0.00,rosa.diaz67@example.com,BATCH-271
PAY-0202-001742,ORD-0202-01655,2026-07-09 05:08:14,charge,captured,USD,380.01,11.32,zoe.brown12@example.com,BATCH-093
PAY-0202-001543,ORD-0202-01463,2026-07-14 01:29:46,charge,captured,USD,93.52,3.01,lea.patel31@example.com,BATCH-144
PAY-0202-002296,ORD-0202-02184,2026-07-07 10:03:38,charge,captured,USD,106.51,3.39,noah.garcia39@example.com,BATCH-072
PAY-0202-001574,ORD-0202-01493,2026-07-22 23:02:12,charge,captured,USD,310.06,9.29,amir.silva55@example.com,BATCH-221
PAY-0202-003063,ORD-0202-02917,2026-07-05 21:22:50,charge,captured,USD,316.13,9.47,rosa.weber28@example.com,BATCH-052
PAY-0202-001684,ORD-0202-01603,2026-07-20 05:02:35,charge,captured,USD,48.37,1.70,hugo.smith27@example.com,BATCH-204
PAY-0202-000011,ORD-0202-00009,2026-07-29 11:19:13,charge,captured,USD,176.17,5.41,max.novak26@example.com,BATCH-291
PAY-0202-002027,ORD-0202-01926,2026-07-01 22:40:53,charge,captured,USD,397.20,11.82,amir.levi47@example.com,BATCH-014
PAY-0202-001069,ORD-0202-01000,2026-07-07 04:30:34,charge,captured,EUR,289.22,8.69,liam.patel66@example.com,BATCH-072
PAY-0202-002176,ORD-0202-02068,2026-07-04 18:57:26,charge,captured,USD,404.11,12.02,liam.silva37@example.com,BATCH-044
PAY-0202-002954,ORD-0202-02815,2026-07-08 14:03:28,charge,captured,USD,74.40,2.46,mia.levi75@example.com,BATCH-081
PAY-0202-000502,ORD-0202-00479,2026-07-22 09:32:24,charge,captured,USD,366.99,10.94,faye.levi46@example.com,BATCH-223
PAY-0202-000165,ORD-0202-00158,2026-07-20 23:44:49,charge,captured,USD,29.79,1.16,eli.jones23@example.com,BATCH-203
PAY-0202-000129,ORD-0202-00122,2026-07-25 20:57:28,charge,captured,USD,449.20,13.33,eli.chen50@example.com,BATCH-254
PAY-0202-000444,ORD-0202-00426,2026-07-27 03:38:47,charge,captured,USD,473.29,14.03,max.cohen41@example.com,BATCH-273
PAY-0202-002350,ORD-0202-02233,2026-07-02 07:45:01,charge,captured,USD,355.07,10.60,ivy.chen65@example.com,BATCH-022
PAY-0202-001016,ORD-0202-00950,2026-07-16 23:17:16,charge,captured,USD,297.05,8.91,ava.novak34@example.com,BATCH-163
PAY-0202-002638,ORD-0202-02507,2026-07-28 04:49:45,charge,captured,USD,165.44,5.10,ava.levi84@example.com,BATCH-282
PAY-0202-000557,ORD-0202-00530,2026-07-26 12:54:30,charge,captured,USD,116.84,3.69,ivy.chen67@example.com,BATCH-264
PAY-0202-000303,ORD-0202-00290,2026-07-22 10:33:37,charge,captured,USD,427.79,12.71,amir.garcia32@example.com,BATCH-224
PAY-0202-002210,ORD-0202-02098,2026-07-17 19:35:20,charge,captured,USD,399.63,11.89,lucy.mori22@example.com,BATCH-171
PAY-0202-000190,ORD-0202-00182,2026-07-11 08:53:49,charge,pending,USD,316.67,0.00,liam.brown81@example.com,BATCH-112
PAY-0202-000033,ORD-0202-00029,2026-07-14 18:08:15,charge,captured,USD,186.82,5.72,faye.kim65@example.com,BATCH-143
PAY-0202-000829,ORD-0202-00784,2026-07-19 09:39:16,charge,captured,USD,189.85,5.81,jack.mori45@example.com,BATCH-191
PAY-0202-002894,ORD-0202-02758,2026-07-15 11:14:55,charge,captured,USD,46.35,1.64,amir.patel37@example.com,BATCH-152
PAY-0202-000782,ORD-0202-00738,2026-07-26 22:50:26,charge,captured,USD,79.46,2.60,dana.weber19@example.com,BATCH-263
PAY-0202-002938,ORD-0202-02799,2026-07-17 01:42:39,charge,captured,USD,370.87,11.06,hugo.garcia7@example.com,BATCH-171
PAY-0202-002912,ORD-0202-02772,2026-07-07 09:51:39,charge,captured,USD,220.54,6.70,noah.brown93@example.com,BATCH-071
PAY-0202-002119,ORD-0202-02013,2026-07-22 07:21:04,charge,captured,USD,402.70,11.98,faye.cohen13@example.com,BATCH-222
PAY-0202-001407,ORD-0202-01332,2026-07-09 04:20:10,charge,captured,USD,1760.81,51.36,hugo.levi53@example.com,BATCH-092
PAY-0202-000428,ORD-0202-00412,2026-07-21 00:35:03,charge,captured,USD,326.31,9.76,lea.diaz12@example.com,BATCH-212
PAY-0202-001809,ORD-0202-01717,2026-07-19 15:44:00,charge,captured,USD,216.26,6.57,faye.kim5@example.com,BATCH-193
PAY-0202-002304,ORD-0202-02191,2026-07-23 14:10:23,charge,captured,USD,282.77,8.50,ava.levi51@example.com,BATCH-231
PAY-0202-001078,ORD-0202-01010,2026-07-28 19:37:58,charge,captured,USD,333.48,9.97,amir.weber89@example.com,BATCH-283
PAY-0202-001947,ORD-0202-01851,2026-07-12 11:47:15,charge,captured,USD,219.26,6.66,dana.levi68@example.com,BATCH-121
PAY-0202-000532,ORD-0202-00505,2026-07-30 00:09:36,charge,captured,USD,145.65,4.52,sam.rossi75@example.com,BATCH-303
PAY-0202-002371,ORD-0202-02255,2026-07-21 03:55:08,charge,captured,USD,1138.24,33.31,liam.diaz10@example.com,BATCH-214
PAY-0202-003099,ORD-0202-02953,2026-07-09 22:29:14,charge,captured,USD,443.55,13.16,rosa.garcia27@example.com,BATCH-093
PAY-0202-002796,ORD-0202-02662,2026-07-24 02:49:07,charge,captured,USD,38.57,1.42,amir.khan19@example.com,BATCH-241
PAY-0202-002799,ORD-0202-02665,2026-07-11 00:30:46,charge,captured,USD,337.92,10.10,dana.kim10@example.com,BATCH-111
PAY-0202-002123,ORD-0202-02017,2026-07-07 09:32:33,charge,captured,EUR,258.25,7.79,liam.jones86@example.com,BATCH-074
PAY-0202-000331,ORD-0202-00317,2026-07-11 15:54:37,charge,captured,USD,341.68,10.21,max.rossi70@example.com,BATCH-114
PAY-0202-000368,ORD-0202-00354,2026-07-07 11:19:36,charge,captured,USD,470.91,13.96,amir.jones25@example.com,BATCH-073
PAY-0202-001431,ORD-0202-01357,2026-07-17 10:43:36,charge,captured,USD,447.40,13.27,zoe.kim77@example.com,BATCH-172
PAY-0202-002366,ORD-0202-02249,2026-07-10 02:40:42,charge,captured,USD,363.19,10.83,amir.smith75@example.com,BATCH-102
PAY-0202-000522,ORD-0202-00498,2026-07-13 10:55:43,charge,failed,USD,274.54,0.00,max.smith18@example.com,BATCH-132
PAY-0202-002600,ORD-0202-02471,2026-07-09 13:24:56,charge,captured,USD,165.39,5.10,eli.chen12@example.com,BATCH-094
PAY-0202-002551,ORD-0202-02426,2026-07-11 11:34:09,charge,captured,USD,250.95,7.58,mia.levi20@example.com,BATCH-112
PAY-0202-000208,ORD-0202-00201,2026-07-25 09:39:33,charge,captured,USD,469.44,13.91,max.rossi23@example.com,BATCH-252
PAY-0202-002572,ORD-0202-02443,2026-07-07 00:50:39,charge,captured,USD,240.23,7.27,ben.silva16@example.com,BATCH-072
PAY-0202-000996,ORD-0202-00932,2026-07-18 18:37:00,charge,captured,USD,348.16,10.40,ava.kim86@example.com,BATCH-182
PAY-0202-001004,ORD-0202-00939,2026-07-26 16:08:49,charge,captured,USD,411.86,12.24,jack.chen94@example.com,BATCH-264
PAY-0202-001594,ORD-0202-01514,2026-07-28 12:13:22,charge,captured,EUR,115.72,3.66,nina.cohen73@example.com,BATCH-282
PAY-0202-002255,ORD-0202-02143,2026-07-21 16:28:35,charge,captured,USD,365.97,10.91,lea.weber31@example.com,BATCH-212
PAY-0202-001750,ORD-0202-01664,2026-07-04 19:07:23,charge,captured,USD,464.49,13.77,lucy.brown7@example.com,BATCH-042
PAY-0202-002010,ORD-0202-01910,2026-07-21 10:42:07,charge,captured,USD,144.11,4.48,ben.jones10@example.com,BATCH-214
PAY-0202-003119,ORD-0202-02971,2026-07-03 14:22:15,charge,captured,EUR,42.59,1.54,omar.jones27@example.com,BATCH-031
PAY-0202-002402,ORD-0202-02286,2026-07-12 22:02:10,charge,captured,USD,249.34,7.53,liam.chen92@example.com,BATCH-124
PAY-0202-000835,ORD-0202-00790,2026-07-05 08:49:01,charge,captured,USD,75.13,2.48,nina.weber19@example.com,BATCH-054
PAY-0202-000242,ORD-0202-00233,2026-07-06 18:05:17,charge,captured,USD,437.42,12.99,mia.smith60@example.com,BATCH-062
PAY-0202-002239,ORD-0202-02127,2026-07-02 19:46:17,charge,captured,USD,97.63,3.13,zoe.silva71@example.com,BATCH-021
PAY-0202-002421,ORD-0202-02305,2026-07-18 20:41:27,charge,captured,EUR,137.07,4.28,hugo.diaz97@example.com,BATCH-184
PAY-0202-002509,ORD-0202-02385,2026-07-21 04:43:25,charge,captured,EUR,210.78,6.41,zoe.mori90@example.com,BATCH-212
PAY-0202-001590,ORD-0202-01509,2026-07-19 20:13:12,charge,captured,USD,228.52,6.93,dana.levi74@example.com,BATCH-191
PAY-0202-001920,ORD-0202-01824,2026-07-27 09:22:56,charge,captured,USD,27.87,1.11,max.mori1@example.com,BATCH-271
PAY-0202-000854,ORD-0202-00806,2026-07-08 06:21:10,charge,captured,USD,176.58,5.42,nina.khan41@example.com,BATCH-082
PAY-0202-003120,ORD-0202-02972,2026-07-17 06:40:34,charge,captured,USD,197.07,6.02,jack.smith63@example.com,BATCH-173
PAY-0202-002800,ORD-0202-02666,2026-07-09 23:00:46,charge,captured,USD,59.67,2.03,sam.diaz43@example.com,BATCH-091
PAY-0202-002422,ORD-0202-02306,2026-07-28 06:10:48,charge,captured,USD,412.18,12.25,ivy.weber30@example.com,BATCH-283
PAY-0202-002746,ORD-0202-02612,2026-07-16 19:27:54,charge,captured,USD,425.50,12.64,nina.chen19@example.com,BATCH-161
PAY-0202-000559,ORD-0202-00532,2026-07-23 13:46:19,charge,captured,EUR,400.21,11.91,mia.garcia87@example.com,BATCH-234
PAY-0202-001554,ORD-0202-01474,2026-07-18 05:21:22,charge,captured,USD,330.79,9.89,max.kim72@example.com,BATCH-181
PAY-0202-001162,ORD-0202-01094,2026-07-17 01:29:05,charge,captured,USD,53.84,1.86,lucy.jones74@example.com,BATCH-172
PAY-0202-003102,ORD-0202-02956,2026-07-26 06:42:48,charge,captured,USD,215.96,6.56,faye.novak82@example.com,BATCH-263
PAY-0202-001191,ORD-0202-01121,2026-07-06 00:14:47,charge,captured,USD,420.11,12.48,ava.silva2@example.com,BATCH-064
PAY-0202-001450,ORD-0202-01375,2026-07-10 12:47:40,charge,captured,USD,201.83,6.15,lea.chen50@example.com,BATCH-104
PAY-0202-002331,ORD-0202-02216,2026-07-16 04:31:38,charge,captured,USD,60.44,2.05,lucy.jones39@example.com,BATCH-161
PAY-0202-002483,ORD-0202-02362,2026-07-27 03:46:40,charge,captured,USD,398.61,11.86,mia.jones62@example.com,BATCH-272
PAY-0202-001469,ORD-0202-01394,2026-07-09 08:06:36,charge,captured,USD,448.46,13.31,dana.chen52@example.com,BATCH-093
PAY-0202-000357,ORD-0202-00343,2026-07-19 00:46:44,charge,captured,USD,467.85,13.87,omar.patel21@example.com,BATCH-192
PAY-0202-000840,ORD-0202-00794,2026-07-16 04:28:42,charge,captured,USD,263.40,7.94,jack.mori82@example.com,BATCH-164
PAY-0202-001241,ORD-0202-01170,2026-07-06 20:21:19,charge,captured,USD,461.06,13.67,amir.khan30@example.com,BATCH-063
PAY-0202-002625,ORD-0202-02494,2026-07-18 01:25:36,charge,captured,EUR,190.87,5.84,ben.patel21@example.com,BATCH-184
PAY-0202-002045,ORD-0202-01943,2026-07-06 06:11:13,charge,captured,USD,234.74,7.11,hugo.silva35@example.com,BATCH-063
PAY-0202-002556,ORD-0202-02430,2026-07-02 20:24:36,charge,captured,USD,123.51,3.88,eli.smith15@example.com,BATCH-021
PAY-0202-001163,ORD-0202-01095,2026-07-06 06:02:19,charge,captured,USD,298.89,8.97,mia.cohen81@example.com,BATCH-061
PAY-0202-000359,ORD-0202-00345,2026-07-26 03:22:01,charge,captured,USD,19.92,0.88,noah.khan76@example.com,BATCH-262
PAY-0202-000101,ORD-0202-00093,2026-07-15 22:31:36,charge,captured,USD,437.66,12.99,sam.garcia30@example.com,BATCH-153
PAY-0202-002082,ORD-0202-01976,2026-07-28 08:21:12,charge,captured,USD,440.00,13.06,max.garcia17@example.com,BATCH-282
PAY-0202-002208,ORD-0202-02096,2026-07-24 04:41:57,charge,captured,EUR,156.75,4.85,ben.khan54@example.com,BATCH-243
PAY-0202-000962,ORD-0202-00903,2026-07-05 00:09:25,charge,failed,USD,40.92,0.00,sam.silva88@example.com,BATCH-052
PAY-0202-001589,ORD-0202-01508,2026-07-14 12:59:05,charge,captured,USD,460.51,13.65,ben.rossi42@example.com,BATCH-142
PAY-0202-000730,ORD-0202-00689,2026-07-25 00:02:51,charge,captured,EUR,154.34,4.78,ben.patel8@example.com,BATCH-253
PAY-0202-001208,ORD-0202-01139,2026-07-02 03:02:07,charge,captured,USD,312.36,9.36,max.cohen92@example.com,BATCH-023
PAY-0202-003116,ORD-0202-02968,2026-07-18 09:44:57,charge,captured,USD,151.98,4.71,faye.smith17@example.com,BATCH-183
PAY-0202-001960,ORD-0202-01863,2026-07-28 17:49:00,charge,captured,USD,153.97,4.77,jack.levi12@example.com,BATCH-281
PAY-0202-000770,ORD-0202-00725,2026-07-08 04:32:44,charge,captured,USD,17.41,0.80,noah.kim46@example.com,BATCH-081
PAY-0202-002077,ORD-0202-01971,2026-07-09 06:54:52,refund,captured,EUR,135.20,0.00,max.chen74@example.com,BATCH-091
PAY-0202-001618,ORD-0202-01535,2026-07-29 08:51:48,charge,captured,USD,341.21,10.20,ben.rossi50@example.com,BATCH-293
PAY-0202-001068,ORD-0202-00999,2026-07-17 00:35:09,charge,captured,USD,277.24,8.34,lucy.weber70@example.com,BATCH-171
PAY-0202-003089,ORD-0202-02943,2026-07-22 01:32:57,charge,captured,USD,212.41,6.46,omar.rossi73@example.com,BATCH-224
PAY-0202-000823,ORD-0202-00777,2026-07-14 22:37:32,charge,captured,USD,199.54,6.09,ben.patel37@example.com,BATCH-144
PAY-0202-001806,ORD-0202-01714,2026-07-11 19:55:59,charge,captured,USD,401.36,11.94,faye.novak96@example.com,BATCH-112
PAY-0202-000824,ORD-0202-00777,2026-07-24 15:47:53,refund,captured,USD,199.54,0.00,ben.patel37@example.com,BATCH-241
PAY-0202-000371,ORD-0202-00357,2026-07-28 16:36:24,charge,captured,USD,420.15,12.48,sam.chen49@example.com,BATCH-284
PAY-0202-000014,ORD-0202-00012,2026-07-13 09:39:52,charge,failed,USD,137.15,0.00,ava.weber92@example.com,BATCH-133
PAY-0202-001908,ORD-0202-01812,2026-07-09 11:37:10,charge,captured,USD,125.20,3.93,lea.khan40@example.com,BATCH-092
